VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesAvgPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,1750.0,36.99,26.27,145080,3811251.6,35.91661687164288,142049,5101919.51,260999.19999999998,68601.68,1290667.9099999997,25.297692514949137,0.9791080783016267,1.3386467348416462,26.27,Large,79624.37
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,1750.0,28.99,23.19,164038,3804041.22,30.072784451502994,160247,4819073.49,294438.66,144929.24,1015032.27,21.062809523579187,0.9768895012131336,1.2668299871892554,23.19,Large,87913.29000000001
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,1750.0,24.99,18.24,187407,3418303.68,24.249869616330017,187140,4538120.6,343854.07,123780.22,1119816.9199999995,24.67578583081286,0.9985752933454993,1.3275943347432488,18.240000000000002,Large,4870.08
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,1750.0,22.99,16.17,201682,3261197.94,22.333856655290102,200412,4475972.88,368242.8,257032.07,1214774.94,27.139908408024134,0.9937029581221923,1.3724934709114895,16.169999999999998,Large,20535.9
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,1750.0,29.99,21.89,138109,3023206.01,31.089294748155893,135838,4223107.62,249587.83,257032.07,1199901.6100000003,28.41276420040653,0.9835564662693959,1.3968970708681545,21.889999999999997,Large,49712.19
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,1750.0,39.99,30.76,70783,2177285.08,39.83178551424017,69627,2773367.73,127931.67,123780.22,596082.6499999999,21.493098212403297,0.9836683949535906,1.2737733590678901,30.76,Large,35558.560000000005
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,1750.0,17.99,12.94,161386,2088334.84,17.4824897986713,148265,2592041.35,272422.6,257032.07,503706.51,19.43281151745515,0.9186980283295949,1.2412000701956396,12.940000000000001,Large,169785.74
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,1750.0,27.99,20.73,91835,1903739.55,29.18282501298615,90481,2640491.19,166244.44,257032.07,736751.6399999999,27.902067720968233,0.9852561659498013,1.3870023291789046,20.73,Large,28068.420000000002
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,1750.0,21.99,16.29,108866,1773427.14,22.747717562884713,107061,2435393.39,196707.35,123880.97,661966.2500000002,27.18108099981335,0.9834199842007606,1.3732694933269152,16.29,Large,29403.449999999997
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,750.0,22.99,16.42,93205,1530426.1,23.551081460212387,91247,2148965.53,71840.56999999999,123780.22,618539.4299999997,28.78312478097309,0.9789925433184915,1.4041615795757794,16.42,Large,32150.360000000004
